Centroid Longitude,Centroid Latitude,Top-Left Longitude,Top-Left Latitude,Bottom-Right Longitude,Bottom-Right Latitude
139.55833333333334, -17.674999999999997, 139.51666666666668, -17.633333333333333, 139.6, -17.716666666666665
141.19166666666666, -16.041666666666664, 141.15, -16.0, 141.23333333333332, -16.083333333333332
141.10833333333335, -16.041666666666664, 141.06666666666666, -16.0, 141.15, -16.083333333333332
141.05833333333334, -16.208333333333336, 141.01666666666668, -16.166666666666668, 141.1, -16.25
140.55833333333334, -17.375, 140.51666666666668, -17.333333333333332, 140.6, -17.416666666666668
140.47500000000002, -17.791666666666664, 140.43333333333334, -17.75, 140.51666666666668, -17.833333333333332
140.74166666666667, -17.325, 140.7, -17.28333333333333, 140.78333333333333, -17.366666666666667
141.15833333333333, -16.125, 141.11666666666667, -16.083333333333332, 141.2, -16.166666666666668
139.10833333333335, -16.458333333333336, 139.06666666666666, -16.416666666666668, 139.15, -16.5
140.55833333333334, -17.775, 140.51666666666668, -17.733333333333334, 140.6, -17.816666666666666
141.14166666666665, -16.225, 141.1, -16.183333333333334, 141.18333333333334, -16.266666666666666
138.44166666666666, -16.808333333333334, 138.4, -16.766666666666666, 138.48333333333332, -16.85
141.075, -16.125, 141.03333333333333, -16.083333333333332, 141.11666666666667, -16.166666666666668
139.19166666666666, -16.40833333333333, 139.15, -16.366666666666667, 139.23333333333332, -16.45
140.47500000000002, -17.308333333333334, 140.43333333333334, -17.266666666666666, 140.51666666666668, -17.35
143.15833333333333, -22.858333333333334, 143.11666666666667, -22.816666666666666, 143.2, -22.9
139.02499999999998, -16.475, 138.98333333333332, -16.433333333333334, 139.06666666666666, -16.516666666666666
138.97500000000002, -16.90833333333333, 138.93333333333334, -16.866666666666667, 139.01666666666668, -16.95
138.75833333333333, -23.858333333333334, 138.71666666666667, -23.816666666666666, 138.8, -23.9
141.02499999999998, -16.291666666666664, 140.98333333333332, -16.25, 141.06666666666666, -16.333333333333332
139.27499999999998, -16.375, 139.23333333333332, -16.333333333333332, 139.31666666666666, -16.416666666666668
140.125, -17.09166666666667, 140.08333333333334, -17.05, 140.16666666666666, -17.133333333333333
140.425, -17.191666666666666, 140.38333333333333, -17.15, 140.46666666666667, -17.233333333333334
139.35833333333335, -16.358333333333334, 139.31666666666666, -16.316666666666666, 139.4, -16.4
138.34166666666667, -16.775, 138.3, -16.733333333333334, 138.38333333333333, -16.816666666666666
140.65833333333333, -17.34166666666667, 140.61666666666667, -17.3, 140.7, -17.383333333333333
140.30833333333334, -17.441666666666666, 140.26666666666668, -17.4, 140.35, -17.483333333333334
140.90833333333333, -16.391666666666666, 140.86666666666667, -16.35, 140.95, -16.433333333333334
138.34166666666667, -16.40833333333333, 138.3, -16.366666666666667, 138.38333333333333, -16.45
140.27499999999998, -17.275, 140.23333333333332, -17.233333333333334, 140.31666666666666, -17.316666666666666
141.02499999999998, -16.041666666666664, 140.98333333333332, -16.0, 141.06666666666666, -16.083333333333332
139.075, -16.991666666666667, 139.03333333333333, -16.95, 139.11666666666667, -17.03333333333333
140.55833333333334, -17.291666666666664, 140.51666666666668, -17.25, 140.6, -17.333333333333332
140.19166666666666, -17.225, 140.15, -17.183333333333334, 140.23333333333332, -17.266666666666666
139.44166666666666, -16.325000000000003, 139.4, -16.283333333333335, 139.48333333333332, -16.366666666666667
140.39166666666665, -17.308333333333334, 140.35, -17.266666666666666, 140.43333333333334, -17.35
139.10833333333335, -16.375, 139.06666666666666, -16.333333333333332, 139.15, -16.416666666666668
143.825, -18.575, 143.78333333333333, -18.53333333333333, 143.86666666666667, -18.616666666666667
140.94166666666666, -16.308333333333334, 140.9, -16.266666666666666, 140.98333333333332, -16.35
141.10833333333335, -16.441666666666666, 141.06666666666666, -16.4, 141.15, -16.483333333333334
140.825, -16.424999999999997, 140.78333333333333, -16.383333333333333, 140.86666666666667, -16.466666666666665
143.79166666666669, -20.575, 143.75, -20.53333333333333, 143.83333333333334, -20.616666666666667
142.075, -22.008333333333333, 142.03333333333333, -21.96666666666667, 142.11666666666667, -22.05
140.99166666666667, -16.391666666666666, 140.95, -16.35, 141.03333333333333, -16.433333333333334
140.97500000000002, -16.208333333333336, 140.93333333333334, -16.166666666666668, 141.01666666666668, -16.25
143.675, -20.641666666666666, 143.63333333333333, -20.6, 143.71666666666667, -20.683333333333334
140.34166666666667, -17.15833333333333, 140.3, -17.116666666666667, 140.38333333333333, -17.2
138.80833333333334, -16.441666666666666, 138.76666666666668, -16.4, 138.85, -16.483333333333334
138.94166666666666, -16.441666666666666, 138.9, -16.4, 138.98333333333332, -16.483333333333334
140.85833333333335, -16.308333333333334, 140.81666666666666, -16.266666666666666, 140.9, -16.35
140.94166666666666, -16.475, 140.9, -16.433333333333334, 140.98333333333332, -16.516666666666666
140.50833333333333, -17.208333333333336, 140.46666666666667, -17.166666666666668, 140.55, -17.25
143.84166666666667, -19.65833333333333, 143.8, -19.616666666666667, 143.88333333333333, -19.7
139.79166666666669, -17.358333333333334, 139.75, -17.316666666666666, 139.83333333333334, -17.4
143.85833333333335, -20.025, 143.81666666666666, -19.983333333333334, 143.9, -20.066666666666666
138.89166666666665, -16.891666666666666, 138.85, -16.85, 138.93333333333334, -16.933333333333334
139.02499999999998, -16.358333333333334, 138.98333333333332, -16.316666666666666, 139.06666666666666, -16.4
138.425, -16.40833333333333, 138.38333333333333, -16.366666666666667, 138.46666666666667, -16.45
138.70833333333331, -16.40833333333333, 138.66666666666666, -16.366666666666667, 138.75, -16.45
