Centroid Longitude,Centroid Latitude,Top-Left Longitude,Top-Left Latitude,Bottom-Right Longitude,Bottom-Right Latitude
-67.64166666666667, -19.84166666666667, -67.68333333333334, -19.8, -67.6, -19.883333333333333
-71.95833333333334, -17.141666666666666, -72.0, -17.1, -71.91666666666667, -17.183333333333334
-71.64166666666667, -17.308333333333334, -71.68333333333334, -17.266666666666666, -71.6, -17.35
-69.30833333333334, -16.174999999999997, -69.35, -16.133333333333333, -69.26666666666667, -16.216666666666665
-69.39166666666667, -16.125, -69.43333333333334, -16.083333333333332, -69.35, -16.166666666666668
-68.99166666666667, -16.491666666666667, -69.03333333333333, -16.45, -68.95, -16.533333333333335
-70.40833333333333, -18.425, -70.45, -18.383333333333333, -70.36666666666666, -18.46666666666667
-69.225, -16.191666666666666, -69.26666666666667, -16.15, -69.18333333333334, -16.233333333333334
-71.725, -17.275, -71.76666666666667, -17.233333333333334, -71.68333333333334, -17.316666666666666
-68.90833333333333, -16.541666666666664, -68.95, -16.5, -68.86666666666666, -16.583333333333332
-68.94166666666666, -16.358333333333334, -68.98333333333333, -16.316666666666666, -68.9, -16.4
-71.80833333333334, -17.258333333333333, -71.85, -17.216666666666665, -71.76666666666667, -17.3
-69.30833333333334, -16.09166666666667, -69.35, -16.05, -69.26666666666667, -16.133333333333333
-71.89166666666667, -17.225, -71.93333333333334, -17.183333333333334, -71.85, -17.266666666666666
-71.57499999999999, -17.391666666666666, -71.61666666666666, -17.35, -71.53333333333333, -17.433333333333334
-69.225, -16.108333333333334, -69.26666666666667, -16.066666666666666, -69.18333333333334, -16.15
-68.74166666666667, -16.258333333333333, -68.78333333333333, -16.216666666666665, -68.7, -16.3
-70.39166666666667, -18.508333333333333, -70.43333333333334, -18.46666666666667, -70.35, -18.55
-67.74166666666667, -19.741666666666667, -67.78333333333333, -19.7, -67.7, -19.78333333333333
-70.49166666666667, -18.358333333333334, -70.53333333333333, -18.316666666666666, -70.45, -18.4
-68.65833333333333, -16.275, -68.7, -16.233333333333334, -68.61666666666666, -16.316666666666666
-68.95833333333334, -16.058333333333334, -69.0, -16.016666666666666, -68.91666666666667, -16.1
-69.39166666666667, -16.041666666666664, -69.43333333333334, -16.0, -69.35, -16.083333333333332
-71.525, -17.475, -71.56666666666666, -17.433333333333334, -71.48333333333333, -17.516666666666666
-68.85833333333333, -16.358333333333334, -68.9, -16.316666666666666, -68.81666666666666, -16.4
-68.34166666666667, -16.041666666666664, -68.38333333333334, -16.0, -68.3, -16.083333333333332
-70.45833333333334, -23.59166666666667, -70.5, -23.55, -70.41666666666667, -23.633333333333333
-67.825, -19.741666666666667, -67.86666666666667, -19.7, -67.78333333333333, -19.78333333333333
-71.725, -17.358333333333334, -71.76666666666667, -17.316666666666666, -71.68333333333334, -17.4
-70.57499999999999, -18.308333333333334, -70.61666666666666, -18.266666666666666, -70.53333333333333, -18.35
-70.49166666666667, -18.441666666666666, -70.53333333333333, -18.4, -70.45, -18.483333333333334
-70.40833333333333, -18.59166666666667, -70.45, -18.55, -70.36666666666666, -18.633333333333333
-67.65833333333333, -20.641666666666666, -67.7, -20.6, -67.61666666666667, -20.683333333333334
-68.775, -16.358333333333334, -68.81666666666666, -16.316666666666666, -68.73333333333333, -16.4
-69.14166666666667, -16.141666666666666, -69.18333333333334, -16.1, -69.1, -16.183333333333334
-70.39166666666667, -22.958333333333336, -70.43333333333334, -22.916666666666668, -70.35, -23.0
-67.09166666666667, -18.09166666666667, -67.13333333333334, -18.05, -67.05, -18.133333333333333
-71.44166666666666, -17.558333333333334, -71.48333333333333, -17.516666666666666, -71.4, -17.6
-71.89166666666667, -17.308333333333334, -71.93333333333334, -17.266666666666666, -71.85, -17.35
