Centroid Longitude,Centroid Latitude,Top-Left Longitude,Top-Left Latitude,Bottom-Right Longitude,Bottom-Right Latitude
148.77499999999998, -30.575, 148.73333333333332, -30.53333333333333, 148.81666666666666, -30.616666666666667
144.97500000000002, -30.575, 144.93333333333334, -30.53333333333333, 145.01666666666668, -30.616666666666667
144.825, -25.058333333333334, 144.78333333333333, -25.016666666666666, 144.86666666666667, -25.1
148.75833333333333, -30.65833333333333, 148.71666666666667, -30.616666666666667, 148.8, -30.7
144.65833333333333, -24.775, 144.61666666666667, -24.733333333333334, 144.7, -24.816666666666666
144.69166666666666, -24.90833333333333, 144.65, -24.866666666666667, 144.73333333333332, -24.95
148.99166666666667, -31.325, 148.95, -31.28333333333333, 149.03333333333333, -31.366666666666667
144.80833333333334, -25.225, 144.76666666666668, -25.183333333333334, 144.85, -25.266666666666666
148.90833333333333, -31.958333333333336, 148.86666666666667, -31.916666666666668, 148.95, -32.0
148.84166666666667, -30.65833333333333, 148.8, -30.616666666666667, 148.88333333333333, -30.7
148.85833333333335, -30.575, 148.81666666666666, -30.53333333333333, 148.9, -30.616666666666667
144.89166666666665, -30.608333333333334, 144.85, -30.566666666666666, 144.93333333333334, -30.65
149.54166666666669, -26.758333333333333, 149.5, -26.71666666666667, 149.58333333333334, -26.8
148.15833333333333, -24.941666666666666, 148.11666666666667, -24.9, 148.2, -24.983333333333334
144.79166666666669, -25.141666666666666, 144.75, -25.1, 144.83333333333334, -25.183333333333334
149.95833333333331, -26.425, 149.91666666666666, -26.383333333333333, 150.0, -26.46666666666667
144.60833333333335, -24.875, 144.56666666666666, -24.833333333333332, 144.65, -24.916666666666668
146.00833333333333, -30.175, 145.96666666666667, -30.133333333333333, 146.05, -30.21666666666667
149.05833333333334, -31.958333333333336, 149.01666666666668, -31.916666666666668, 149.1, -32.0
149.14166666666665, -24.141666666666666, 149.1, -24.1, 149.18333333333334, -24.183333333333334
146.675, -30.325, 146.63333333333333, -30.28333333333333, 146.71666666666667, -30.366666666666667
145.89166666666665, -30.191666666666666, 145.85, -30.15, 145.93333333333334, -30.233333333333334
144.84166666666667, -24.975, 144.8, -24.933333333333334, 144.88333333333333, -25.016666666666666
145.05833333333334, -30.508333333333333, 145.01666666666668, -30.46666666666667, 145.1, -30.55
145.25833333333333, -29.975, 145.21666666666667, -29.933333333333334, 145.3, -30.016666666666666
149.22500000000002, -27.575, 149.18333333333334, -27.53333333333333, 149.26666666666668, -27.616666666666667
147.625, -24.758333333333333, 147.58333333333334, -24.716666666666665, 147.66666666666666, -24.8
145.45833333333331, -30.325, 145.41666666666666, -30.28333333333333, 145.5, -30.366666666666667
144.59166666666667, -24.958333333333336, 144.55, -24.916666666666668, 144.63333333333333, -25.0
147.625, -29.725, 147.58333333333334, -29.683333333333334, 147.66666666666666, -29.766666666666666
148.925, -24.90833333333333, 148.88333333333333, -24.866666666666667, 148.96666666666667, -24.95
149.47500000000002, -26.675, 149.43333333333334, -26.633333333333333, 149.51666666666668, -26.71666666666667
146.825, -30.391666666666666, 146.78333333333333, -30.35, 146.86666666666667, -30.433333333333334
149.79166666666669, -30.508333333333333, 149.75, -30.46666666666667, 149.83333333333334, -30.55
144.79166666666669, -25.308333333333334, 144.75, -25.266666666666666, 144.83333333333334, -25.35
149.02499999999998, -24.741666666666667, 148.98333333333332, -24.7, 149.06666666666666, -24.783333333333335
145.675, -30.225, 145.63333333333333, -30.183333333333334, 145.71666666666667, -30.266666666666666
149.075, -27.708333333333336, 149.03333333333333, -27.666666666666668, 149.11666666666667, -27.75
146.09166666666667, -29.391666666666666, 146.05, -29.35, 146.13333333333333, -29.433333333333334
147.54166666666669, -29.741666666666667, 147.5, -29.7, 147.58333333333334, -29.78333333333333
145.75833333333333, -30.241666666666667, 145.71666666666667, -30.2, 145.8, -30.28333333333333
145.34166666666667, -30.34166666666667, 145.3, -30.3, 145.38333333333333, -30.383333333333333
148.99166666666667, -31.241666666666667, 148.95, -31.2, 149.03333333333333, -31.28333333333333
148.59166666666667, -29.391666666666666, 148.55, -29.35, 148.63333333333333, -29.433333333333334
148.19166666666666, -25.025, 148.15, -24.983333333333334, 148.23333333333332, -25.066666666666666
149.79166666666669, -30.59166666666667, 149.75, -30.55, 149.83333333333334, -30.633333333333333
145.25833333333333, -30.391666666666666, 145.21666666666667, -30.35, 145.3, -30.433333333333334
144.70833333333331, -24.991666666666667, 144.66666666666666, -24.95, 144.75, -25.03333333333333
146.22500000000002, -29.40833333333333, 146.18333333333334, -29.366666666666667, 146.26666666666668, -29.45
146.59166666666667, -30.291666666666664, 146.55, -30.25, 146.63333333333333, -30.333333333333332
144.80833333333334, -30.641666666666666, 144.76666666666668, -30.6, 144.85, -30.683333333333334
149.25833333333333, -30.525, 149.21666666666667, -30.483333333333334, 149.3, -30.566666666666666
146.74166666666667, -30.40833333333333, 146.7, -30.366666666666667, 146.78333333333333, -30.45
149.075, -31.258333333333333, 149.03333333333333, -31.21666666666667, 149.11666666666667, -31.3
146.325, -30.291666666666664, 146.28333333333333, -30.25, 146.36666666666667, -30.333333333333332
149.39166666666665, -24.958333333333336, 149.35, -24.916666666666668, 149.43333333333334, -25.0
144.72500000000002, -29.175, 144.68333333333334, -29.133333333333333, 144.76666666666668, -29.21666666666667
145.02499999999998, -29.675, 144.98333333333332, -29.633333333333333, 145.06666666666666, -29.71666666666667
146.47500000000002, -30.275, 146.43333333333334, -30.233333333333334, 146.51666666666668, -30.316666666666666
149.47500000000002, -26.84166666666667, 149.43333333333334, -26.8, 149.51666666666668, -26.883333333333333
148.39166666666665, -25.191666666666666, 148.35, -25.15, 148.43333333333334, -25.233333333333334
146.65833333333333, -30.40833333333333, 146.61666666666667, -30.366666666666667, 146.7, -30.45
149.10833333333335, -27.791666666666664, 149.06666666666666, -27.75, 149.15, -27.833333333333332
144.675, -30.758333333333333, 144.63333333333333, -30.71666666666667, 144.71666666666667, -30.8
144.60833333333335, -25.041666666666664, 144.56666666666666, -25.0, 144.65, -25.083333333333332
146.94166666666666, -24.708333333333336, 146.9, -24.666666666666668, 146.98333333333332, -24.75
149.19166666666666, -30.725, 149.15, -30.683333333333334, 149.23333333333332, -30.766666666666666
149.20833333333331, -25.058333333333334, 149.16666666666666, -25.016666666666666, 149.25, -25.1
145.75833333333333, -30.15833333333333, 145.71666666666667, -30.116666666666667, 145.8, -30.2
146.34166666666667, -30.40833333333333, 146.3, -30.366666666666667, 146.38333333333333, -30.45
149.02499999999998, -24.65833333333333, 148.98333333333332, -24.616666666666667, 149.06666666666666, -24.7
149.10833333333335, -24.225, 149.06666666666666, -24.183333333333334, 149.15, -24.266666666666666
144.72500000000002, -25.225, 144.68333333333334, -25.183333333333334, 144.76666666666668, -25.266666666666666
145.54166666666669, -30.325, 145.5, -30.28333333333333, 145.58333333333334, -30.366666666666667
146.34166666666667, -24.258333333333333, 146.3, -24.216666666666665, 146.38333333333333, -24.3
149.15833333333333, -24.058333333333334, 149.11666666666667, -24.016666666666666, 149.2, -24.1
146.09166666666667, -30.108333333333334, 146.05, -30.066666666666666, 146.13333333333333, -30.15
148.94166666666666, -24.991666666666667, 148.9, -24.95, 148.98333333333332, -25.03333333333333
148.84166666666667, -30.741666666666667, 148.8, -30.7, 148.88333333333333, -30.78333333333333
145.02499999999998, -25.991666666666667, 144.98333333333332, -25.95, 145.06666666666666, -26.03333333333333
147.15833333333333, -25.791666666666664, 147.11666666666667, -25.75, 147.2, -25.833333333333332
149.075, -24.508333333333333, 149.03333333333333, -24.466666666666665, 149.11666666666667, -24.55
146.425, -30.358333333333334, 146.38333333333333, -30.316666666666666, 146.46666666666667, -30.4
147.125, -24.924999999999997, 147.08333333333334, -24.883333333333333, 147.16666666666666, -24.966666666666665
148.94166666666666, -31.725, 148.9, -31.683333333333334, 148.98333333333332, -31.766666666666666
149.20833333333331, -30.808333333333334, 149.16666666666666, -30.766666666666666, 149.25, -30.85
144.54166666666669, -31.008333333333333, 144.5, -30.96666666666667, 144.58333333333334, -31.05
148.99166666666667, -24.825000000000003, 148.95, -24.783333333333335, 149.03333333333333, -24.866666666666667
146.10833333333335, -29.258333333333333, 146.06666666666666, -29.21666666666667, 146.15, -29.3
147.29166666666669, -24.258333333333333, 147.25, -24.216666666666665, 147.33333333333334, -24.3
144.74166666666667, -24.808333333333334, 144.7, -24.766666666666666, 144.78333333333333, -24.85
149.30833333333334, -25.008333333333333, 149.26666666666668, -24.966666666666665, 149.35, -25.05
146.24166666666667, -30.241666666666667, 146.2, -30.2, 146.28333333333333, -30.28333333333333
149.27499999999998, -30.691666666666666, 149.23333333333332, -30.65, 149.31666666666666, -30.733333333333334
145.99166666666667, -25.775, 145.95, -25.733333333333334, 146.03333333333333, -25.816666666666666
149.44166666666666, -25.075, 149.4, -25.03333333333333, 149.48333333333332, -25.116666666666667
149.65833333333333, -25.025, 149.61666666666667, -24.983333333333334, 149.7, -25.066666666666666
149.29166666666669, -30.608333333333334, 149.25, -30.566666666666666, 149.33333333333334, -30.65
149.50833333333333, -30.525, 149.46666666666667, -30.483333333333334, 149.55, -30.566666666666666
147.49166666666667, -29.808333333333334, 147.45, -29.766666666666666, 147.53333333333333, -29.85
144.72500000000002, -30.675, 144.68333333333334, -30.633333333333333, 144.76666666666668, -30.71666666666667
146.89166666666665, -24.791666666666664, 146.85, -24.75, 146.93333333333334, -24.833333333333332
149.625, -26.808333333333334, 149.58333333333334, -26.766666666666666, 149.66666666666666, -26.85
148.99166666666667, -27.708333333333336, 148.95, -27.666666666666668, 149.03333333333333, -27.75
149.05833333333334, -24.141666666666666, 149.01666666666668, -24.1, 149.1, -24.183333333333334
149.20833333333331, -31.025, 149.16666666666666, -30.983333333333334, 149.25, -31.066666666666666
147.70833333333331, -29.741666666666667, 147.66666666666666, -29.7, 147.75, -29.78333333333333
146.825, -30.475, 146.78333333333333, -30.433333333333334, 146.86666666666667, -30.516666666666666
144.60833333333335, -25.125, 144.56666666666666, -25.083333333333332, 144.65, -25.166666666666668
145.125, -30.425, 145.08333333333334, -30.383333333333333, 145.16666666666666, -30.46666666666667
145.47500000000002, -29.625, 145.43333333333334, -29.583333333333332, 145.51666666666668, -29.666666666666668
146.75833333333333, -30.641666666666666, 146.71666666666667, -30.6, 146.8, -30.683333333333334
149.29166666666669, -30.808333333333334, 149.25, -30.766666666666666, 149.33333333333334, -30.85
148.77499999999998, -30.491666666666667, 148.73333333333332, -30.45, 148.81666666666666, -30.53333333333333
148.97500000000002, -25.358333333333334, 148.93333333333334, -25.316666666666666, 149.01666666666668, -25.4
145.575, -29.991666666666667, 145.53333333333333, -29.95, 145.61666666666667, -30.03333333333333
147.40833333333333, -26.175, 147.36666666666667, -26.133333333333333, 147.45, -26.21666666666667
144.925, -30.691666666666666, 144.88333333333333, -30.65, 144.96666666666667, -30.733333333333334
144.44166666666666, -30.708333333333336, 144.4, -30.666666666666668, 144.48333333333332, -30.75
146.45833333333331, -29.475, 146.41666666666666, -29.433333333333334, 146.5, -29.516666666666666
145.00833333333333, -25.225, 144.96666666666667, -25.183333333333334, 145.05, -25.266666666666666
145.70833333333331, -29.925, 145.66666666666666, -29.883333333333333, 145.75, -29.96666666666667
146.625, -29.075, 146.58333333333334, -29.03333333333333, 146.66666666666666, -29.116666666666667
146.125, -29.475, 146.08333333333334, -29.433333333333334, 146.16666666666666, -29.516666666666666
147.425, -24.09166666666667, 147.38333333333333, -24.05, 147.46666666666667, -24.133333333333333
148.25833333333333, -26.225, 148.21666666666667, -26.183333333333334, 148.3, -26.266666666666666
