Centroid Longitude,Centroid Latitude,Top-Left Longitude,Top-Left Latitude,Bottom-Right Longitude,Bottom-Right Latitude
-0.2250000000000001, 39.391666666666666, -0.2666666666666666, 39.43333333333333, -0.18333333333333357, 39.35
-0.2250000000000001, 39.474999999999994, -0.2666666666666666, 39.516666666666666, -0.18333333333333357, 39.43333333333333
-0.09166666666666679, 39.05833333333334, -0.13333333333333375, 39.1, -0.04999999999999982, 39.016666666666666
-0.19166666666666687, 39.30833333333334, -0.2333333333333334, 39.35, -0.15000000000000036, 39.266666666666666
-0.125, 39.141666666666666, -0.16666666666666696, 39.18333333333333, -0.08333333333333304, 39.1
-0.19166666666666687, 39.55833333333334, -0.2333333333333334, 39.6, -0.15000000000000036, 39.516666666666666
-0.1416666666666666, 39.224999999999994, -0.18333333333333357, 39.266666666666666, -0.09999999999999964, 39.18333333333333
-0.04166666666666652, 38.974999999999994, -0.08333333333333304, 39.016666666666666, 0.0, 38.93333333333333
-0.125, 39.641666666666666, -0.16666666666666696, 39.68333333333333, -0.08333333333333304, 39.6
-0.1416666666666666, 39.391666666666666, -0.18333333333333357, 39.43333333333333, -0.09999999999999964, 39.35
-0.1416666666666666, 39.474999999999994, -0.18333333333333357, 39.516666666666666, -0.09999999999999964, 39.43333333333333
-0.07500000000000018, 39.724999999999994, -0.11666666666666714, 39.766666666666666, -0.033333333333333215, 39.68333333333333
-3.375, 35.25833333333333, -3.4166666666666665, 35.3, -3.3333333333333335, 35.21666666666667
-0.3250000000000002, 38.375, -0.36666666666666714, 38.416666666666664, -0.2833333333333332, 38.333333333333336
-0.10833333333333339, 39.30833333333334, -0.15000000000000036, 39.35, -0.06666666666666643, 39.266666666666666
-0.10833333333333339, 39.55833333333334, -0.15000000000000036, 39.6, -0.06666666666666643, 39.516666666666666
-2.6083333333333334, 35.15833333333333, -2.65, 35.2, -2.566666666666667, 35.11666666666667
-0.4416666666666669, 38.275000000000006, -0.4833333333333334, 38.31666666666667, -0.40000000000000036, 38.233333333333334
-0.04166666666666652, 39.141666666666666, -0.08333333333333304, 39.18333333333333, 0.0, 39.1
-0.5583333333333331, 38.108333333333334, -0.5999999999999996, 38.15, -0.5166666666666666, 38.06666666666667
-3.291666666666667, 35.275, -3.3333333333333335, 35.31666666666666, -3.25, 35.233333333333334
-0.058333333333333126, 39.224999999999994, -0.09999999999999964, 39.266666666666666, -0.016666666666666607, 39.18333333333333
-0.04166666666666652, 39.641666666666666, -0.08333333333333304, 39.68333333333333, 0.0, 39.6
-2.6916666666666664, 35.19166666666666, -2.7333333333333334, 35.233333333333334, -2.65, 35.15
-3.458333333333333, 35.275, -3.5, 35.31666666666666, -3.4166666666666665, 35.233333333333334
-0.2416666666666667, 38.425, -0.2833333333333332, 38.46666666666667, -0.20000000000000018, 38.38333333333333
-1.9416666666666669, 35.15833333333333, -1.9833333333333334, 35.2, -1.9000000000000004, 35.11666666666667
-0.04166666666666652, 39.80833333333334, -0.08333333333333304, 39.85, 0.0, 39.766666666666666
-1.3583333333333334, 35.40833333333333, -1.4000000000000004, 35.45, -1.3166666666666664, 35.36666666666667
-1.7916666666666665, 35.19166666666666, -1.833333333333333, 35.233333333333334, -1.75, 35.15
-2.0250000000000004, 35.15833333333333, -2.066666666666667, 35.2, -1.9833333333333334, 35.11666666666667
-0.3583333333333334, 38.29166666666667, -0.40000000000000036, 38.333333333333336, -0.31666666666666643, 38.25
-2.5250000000000004, 35.175, -2.566666666666667, 35.21666666666667, -2.4833333333333334, 35.13333333333333
-0.058333333333333126, 39.391666666666666, -0.09999999999999964, 39.43333333333333, -0.016666666666666607, 39.35
-2.7750000000000004, 35.225, -2.816666666666667, 35.266666666666666, -2.7333333333333334, 35.18333333333334
-0.058333333333333126, 39.474999999999994, -0.09999999999999964, 39.516666666666666, -0.016666666666666607, 39.43333333333333
-1.3083333333333331, 37.49166666666667, -1.3499999999999996, 37.53333333333333, -1.2666666666666666, 37.45
-1.7083333333333335, 35.24166666666667, -1.75, 35.28333333333333, -1.666666666666667, 35.2
-1.3916666666666666, 37.44166666666666, -1.4333333333333336, 37.483333333333334, -1.3499999999999996, 37.4
-3.541666666666667, 35.29166666666667, -3.5833333333333335, 35.333333333333336, -3.5, 35.25
-4.208333333333334, 34.05833333333334, -4.25, 34.1, -4.166666666666667, 34.016666666666666
-3.841666666666667, 35.275, -3.8833333333333333, 35.31666666666666, -3.8, 35.233333333333334
-2.1083333333333334, 35.15833333333333, -2.15, 35.2, -2.066666666666667, 35.11666666666667
-1.4416666666666669, 35.375, -1.4833333333333334, 35.416666666666664, -1.4000000000000004, 35.333333333333336
-0.17500000000000027, 35.875, -0.21666666666666679, 35.916666666666664, -0.13333333333333375, 35.833333333333336
-3.208333333333333, 35.30833333333334, -3.25, 35.35, -3.1666666666666665, 35.266666666666666
-1.6083333333333334, 37.30833333333334, -1.6500000000000004, 37.35, -1.5666666666666664, 37.266666666666666
-5.958333333333334, 36.09166666666667, -6.0, 36.13333333333333, -5.916666666666667, 36.05
-0.5750000000000002, 38.025000000000006, -0.6166666666666671, 38.06666666666667, -0.5333333333333332, 37.983333333333334
-5.958333333333334, 35.858333333333334, -6.0, 35.9, -5.916666666666667, 35.81666666666666
-0.6416666666666666, 35.79166666666667, -0.6833333333333336, 35.833333333333336, -0.5999999999999996, 35.75
-0.15833333333333366, 38.45833333333333, -0.20000000000000018, 38.5, -0.11666666666666714, 38.416666666666664
-5.875, 35.875, -5.916666666666667, 35.916666666666664, -5.833333333333333, 35.833333333333336
-2.1916666666666664, 35.175, -2.2333333333333334, 35.21666666666667, -2.15, 35.13333333333333
-0.4416666666666669, 38.19166666666666, -0.4833333333333334, 38.233333333333334, -0.40000000000000036, 38.15
-5.791666666666666, 35.925, -5.833333333333333, 35.96666666666667, -5.75, 35.88333333333333
-5.958333333333334, 35.94166666666666, -6.0, 35.983333333333334, -5.916666666666667, 35.9
-1.7083333333333335, 37.225, -1.75, 37.266666666666666, -1.666666666666667, 37.18333333333334
-0.09166666666666679, 35.875, -0.13333333333333375, 35.916666666666664, -0.04999999999999982, 35.833333333333336
-2.725, 36.75833333333333, -2.7666666666666666, 36.8, -2.6833333333333336, 36.71666666666667
-1.225, 37.49166666666667, -1.2666666666666666, 37.53333333333333, -1.1833333333333336, 37.45
